date_time timestamp pressure accel_x accel_y accel_z gyro_x gyro_y gyro_z
2025-05-13 18:58:19.030 08:37.3 1176.6 0.0381 -0.0166 0.9692 -2.1 1.3 0.2
2025-05-13 18:58:19.130 08:37.4 1202.8 0.0361 -0.0125 0.9675 -2.2 1.3 0.3
2025-05-13 18:58:19.229 08:37.5 1202.8 0.0366 -0.0176 0.9739 -2.3 1.2 0.3
2025-05-13 18:58:19.329 08:37.6 1202.8 0.0339 -0.0164 0.9705 -2.2 1.2 0.3
2025-05-13 18:58:19.429 08:37.7 1189.7 0.0303 -0.0154 0.9788 -2.1 1.3 0.3
2025-05-13 18:58:19.531 08:37.8 1150.4 0.0376 -0.0195 0.9749 -2.2 1.3 0.2
2025-05-13 18:58:19.629 08:37.9 1150.4 0.0347 -0.0142 0.9724 -2.1 1.2 0.2
2025-05-13 18:58:19.730 08:38.0 1189.7 0.0352 -0.0154 0.9712 -2.2 1.3 0.2
2025-05-13 18:58:19.829 08:38.1 1202.8 0.0376 -0.0164 0.9719 -2.3 1.3 0.1
2025-05-13 18:58:19.930 08:38.2 1215.9 0.0366 -0.0168 0.9675 -2.4 1.4 0.3
2025-05-13 18:58:20.030 08:38.3 1215.9 0.0344 -0.0166 0.9692 -2.2 1.5 0.2
2025-05-13 18:58:20.129 08:38.4 1189.7 0.0359 -0.0117 0.9683 -2.1 1.2 0.3
2025-05-13 18:58:20.229 08:38.5 1189.7 0.0383 -0.0132 0.9700 -2.2 1.3 0.2
2025-05-13 18:58:20.330 08:38.6 1202.8 0.0332 -0.0151 0.9744 -2.1 1.6 0.3
2025-05-13 18:58:20.430 08:38.7 1202.8 0.0315 -0.0205 0.9783 -2.3 1.2 0.3
2025-05-13 18:58:20.529 08:38.8 1215.9 0.0359 -0.0156 0.9771 -2.4 1.2 0.4
2025-05-13 18:58:20.629 08:38.9 1202.8 0.0334 -0.0129 0.9761 -2.1 1.5 0.4
2025-05-13 18:58:20.730 08:39.0 1229.0 0.0374 -0.0149 0.9702 -2.4 1.3 0.2
2025-05-13 18:58:20.830 08:39.1 1255.2 0.0339 -0.0146 0.9707 -2.2 1.5 0.2
2025-05-13 18:58:20.929 08:39.2 1255.2 0.0356 -0.0181 0.9731 -2.3 1.4 0.1
2025-05-13 18:58:21.029 08:39.3 1242.1 0.0327 -0.0176 0.9675 -2.3 1.2 0.2
2025-05-13 18:58:21.130 08:39.4 1215.9 0.0376 -0.0161 0.9641 -2.3 1.4 0.2
2025-05-13 18:58:21.229 08:39.5 1242.1 0.0295 -0.0081 0.9644 -2.2 1.3 0.2
2025-05-13 18:58:21.329 08:39.6 1255.2 0.0264 -0.0220 0.9788 -2.4 1.1 0.1
2025-05-13 18:58:21.429 08:39.7 1242.1 0.0383 -0.0127 0.9727 -2.3 1.1 0.3
2025-05-13 18:58:21.529 08:39.8 1215.9 0.0344 -0.0161 0.9697 -2.3 1.4 0.3
2025-05-13 18:58:21.629 08:39.9 1255.2 0.0291 -0.0183 0.9753 -2.2 1.2 0.2
2025-05-13 18:58:21.729 08:40.0 1281.4 0.0312 -0.0110 0.9744 -2.3 1.4 0.2
2025-05-13 18:58:21.829 08:40.1 1242.1 0.0354 -0.0205 0.9646 -2.0 1.2 0.2
2025-05-13 18:58:21.965 08:40.2 1229.0 0.0320 -0.0181 0.9707 -2.3 1.2 0.2
2025-05-13 18:58:22.029 08:40.3 1215.9 0.0330 -0.0171 0.9722 -2.3 1.3 0.3
2025-05-13 18:58:22.129 08:40.4 1215.9 0.0371 -0.0122 0.9792 -2.3 1.4 0.3
2025-05-13 18:58:22.229 08:40.5 1215.9 0.0356 -0.0183 0.9788 -2.3 1.4 0.2
2025-05-13 18:58:22.329 08:40.6 1215.9 0.0378 -0.0173 0.9714 -2.0 1.5 0.2
2025-05-13 18:58:22.429 08:40.7 1242.1 0.0312 -0.0203 0.9658 -2.2 1.5 0.2
2025-05-13 18:58:22.530 08:40.8 1229.0 0.0361 -0.0146 0.9714 -2.1 1.4 0.2
2025-05-13 18:58:22.629 08:40.9 1229.0 0.0374 -0.0212 0.9709 -2.1 1.3 0.2
2025-05-13 18:58:22.729 08:41.0 1229.0 0.0417 -0.0176 0.9675 -2.2 1.0 0.2
2025-05-13 18:58:22.829 08:41.1 1255.2 0.0347 -0.0144 0.9773 -2.2 1.5 0.1
2025-05-13 18:58:22.929 08:41.2 1255.2 0.0330 -0.0112 0.9741 -2.2 1.5 0.2
2025-05-13 18:58:23.029 08:41.3 1255.2 0.0347 -0.0173 0.9624 -2.3 1.5 0.2
2025-05-13 18:58:23.130 08:41.4 1268.3 0.0332 -0.0205 0.9700 -2.2 1.4 0.3
2025-05-13 18:58:23.229 08:41.5 1268.3 0.0337 -0.0117 0.9758 -2.2 1.3 0.3
2025-05-13 18:58:23.329 08:41.6 1242.1 0.0403 -0.0125 0.9714 -2.3 1.4 0.2
2025-05-13 18:58:23.430 08:41.7 1229.0 0.0352 -0.0112 0.9690 -2.2 1.2 0.2
2025-05-13 18:58:23.530 08:41.8 1215.9 0.0317 -0.0164 0.9692 -2.1 1.1 0.3
2025-05-13 18:58:23.629 08:41.9 1215.9 0.0291 -0.0205 0.9644 -2.4 1.5 0.2
2025-05-13 18:58:23.730 08:42.0 1176.6 0.0320 -0.0183 0.9705 -2.2 1.2 0.1
2025-05-13 18:58:23.830 08:42.1 1163.5 0.0298 -0.0088 0.9670 -2.4 1.2 0.1
2025-05-13 18:58:23.930 08:42.2 1176.6 0.0310 -0.0166 0.9607 -2.2 1.4 0.3
2025-05-13 18:58:24.030 08:42.3 1215.9 0.0349 -0.0154 0.9639 -2.0 1.3 0.1
2025-05-13 18:58:24.130 08:42.4 1202.8 0.0293 -0.0166 0.9802 -2.2 1.4 0.2
2025-05-13 18:58:24.230 08:42.5 1189.7 0.0366 -0.0100 0.9724 -2.3 1.2 0.3
2025-05-13 18:58:24.329 08:42.6 1189.7 0.0264 -0.0095 0.9700 -2.2 1.3 0.1
2025-05-13 18:58:24.430 08:42.7 1215.9 0.0376 -0.0127 0.9802 -2.3 1.5 0.3
2025-05-13 18:58:24.529 08:42.8 1229.0 0.0366 -0.0217 0.9712 -2.1 1.3 0.2
2025-05-13 18:58:24.629 08:42.9 1202.8 0.0332 -0.0125 0.9668 -2.3 1.2 0.2
2025-05-13 18:58:24.730 08:43.0 1189.7 0.0354 -0.0120 0.9668 -2.2 1.3 0.3
2025-05-13 18:58:24.829 08:43.1 1202.8 0.0320 -0.0166 0.9651 -2.3 1.4 0.2
2025-05-13 18:58:24.930 08:43.2 1229.0 0.0381 -0.0151 0.9648 -2.3 1.6 0.1
2025-05-13 18:58:25.029 08:43.3 1229.0 0.0376 -0.0168 0.9636 -2.1 1.2 0.1
2025-05-13 18:58:25.130 08:43.4 1242.1 0.0339 -0.0129 0.9678 -2.1 1.5 0.1
2025-05-13 18:58:25.230 08:43.5 1255.2 0.0339 -0.0176 0.9736 -2.1 1.4 0.3
2025-05-13 18:58:25.329 08:43.6 1242.1 0.0344 -0.0190 0.9729 -2.1 1.3 0.3
2025-05-13 18:58:25.429 08:43.7 1229.0 0.0322 -0.0198 0.9651 -2.3 1.4 0.2
2025-05-13 18:58:25.529 08:43.8 1229.0 0.0327 -0.0171 0.9673 -2.3 1.2 0.2
2025-05-13 18:58:25.629 08:43.9 1202.8 0.0332 -0.0203 0.9680 -2.2 1.1 0.2
2025-05-13 18:58:25.730 08:44.0 1229.0 0.0339 -0.0144 0.9695 -2.2 1.5 0.3
2025-05-13 18:58:25.829 08:44.1 1255.2 0.0315 -0.0154 0.9734 -2.0 1.3 0.1
2025-05-13 18:58:25.929 08:44.2 1229.0 0.0408 -0.0161 0.9775 -2.1 1.5 0.3
2025-05-13 18:58:26.029 08:44.3 1255.2 0.0298 -0.0132 0.9609 -2.3 1.6 0.3
2025-05-13 18:58:26.129 08:44.4 1255.2 0.0334 -0.0103 0.9714 -2.2 1.2 0.2
2025-05-13 18:58:26.229 08:44.5 1229.0 0.0286 -0.0071 0.9697 -2.3 1.1 0.2
2025-05-13 18:58:26.329 08:44.6 1229.0 0.0388 -0.0146 0.9646 -2.2 1.5 0.1
2025-05-13 18:58:26.429 08:44.7 1242.1 0.0366 -0.0127 0.9705 -2.3 1.3 0.4
2025-05-13 18:58:26.529 08:44.8 1229.0 0.0369 -0.0134 0.9724 -2.2 1.2 0.3
2025-05-13 18:58:26.629 08:44.9 1229.0 0.0330 -0.0151 0.9692 -2.1 1.2 0.3
2025-05-13 18:58:26.729 08:45.0 1215.9 0.0327 -0.0200 0.9692 -2.3 1.2 0.3
2025-05-13 18:58:26.829 08:45.1 1202.8 0.0298 -0.0122 0.9678 -2.2 1.4 0.1
2025-05-13 18:58:26.929 08:45.2 1229.0 0.0330 -0.0132 0.9712 -2.1 1.1 0.3
2025-05-13 18:58:27.029 08:45.3 1268.3 0.0315 -0.0195 0.9663 -2.2 1.5 0.5
2025-05-13 18:58:27.129 08:45.4 1255.2 0.0364 -0.0076 0.9705 -2.2 1.6 0.1
2025-05-13 18:58:27.230 08:45.5 1242.1 0.0369 -0.0173 0.9717 -2.1 1.2 0.3
2025-05-13 18:58:27.329 08:45.6 1229.0 0.0303 -0.0120 0.9683 -2.3 1.4 0.5
2025-05-13 18:58:27.429 08:45.7 1229.0 0.0352 -0.0112 0.9731 -2.1 1.6 0.3
2025-05-13 18:58:27.529 08:45.8 1202.8 0.0381 -0.0276 0.9631 -2.3 1.2 0.3
2025-05-13 18:58:27.629 08:45.9 1150.4 0.0320 -0.0112 0.9641 -2.2 1.3 0.2
2025-05-13 18:58:27.729 08:46.0 1163.5 0.0371 -0.0132 0.9626 -2.2 1.4 0.1
2025-05-13 18:58:27.829 08:46.1 1202.8 0.0381 -0.0105 0.9771 -2.2 1.2 0.2
2025-05-13 18:58:27.929 08:46.2 1229.0 0.0317 -0.0151 0.9595 -2.1 1.3 0.2
2025-05-13 18:58:28.030 08:46.3 1229.0 0.0398 -0.0178 0.9702 -2.2 1.2 0.1
2025-05-13 18:58:28.129 08:46.4 1215.9 0.0410 -0.0159 0.9685 -2.3 1.5 0.3
2025-05-13 18:58:28.229 08:46.5 1202.8 0.0364 -0.0156 0.9683 -2.3 1.5 0.2
2025-05-13 18:58:28.329 08:46.6 1202.8 0.0332 -0.0071 0.9741 -2.2 1.5 0.2
2025-05-13 18:58:28.429 08:46.7 1202.8 0.0334 -0.0127 0.9666 -2.3 1.3 0.2
2025-05-13 18:58:28.530 08:46.8 1202.8 0.0354 -0.0171 0.9697 -2.1 1.4 0.3
2025-05-13 18:58:28.629 08:46.9 1215.9 0.0398 -0.0146 0.9668 -2.2 1.3 0.2
2025-05-13 18:58:28.730 08:47.0 1215.9 0.0312 -0.0159 0.9768 -2.1 1.3 0.4
2025-05-13 18:58:28.829 08:47.1 1215.9 0.0359 -0.0120 0.9673 -2.1 1.2 0.2
2025-05-13 18:58:28.930 08:47.2 1215.9 0.0344 -0.0122 0.9661 -2.1 1.5 0.5
2025-05-13 18:58:29.029 08:47.3 1242.1 0.0276 -0.0146 0.9749 -2.3 1.1 0.4
2025-05-13 18:58:29.129 08:47.4 1229.0 0.0251 -0.0159 0.9758 -2.3 1.3 0.1
2025-05-13 18:58:29.229 08:47.5 1215.9 0.0315 -0.0181 0.9609 -2.0 1.2 0.2
2025-05-13 18:58:29.330 08:47.6 1229.0 0.0381 -0.0183 0.9712 -2.4 1.3 0.3
2025-05-13 18:58:29.430 08:47.7 1242.1 0.0381 -0.0151 0.9810 -2.3 1.4 0.3
2025-05-13 18:58:29.530 08:47.8 1229.0 0.0259 -0.0100 0.9661 -2.1 1.3 0.4
2025-05-13 18:58:29.629 08:47.9 1255.2 0.0344 -0.0171 0.9666 -2.1 1.4 0.5
2025-05-13 18:58:29.730 08:48.0 1255.2 0.0320 -0.0183 0.9646 -2.2 1.4 0.4
2025-05-13 18:58:29.829 08:48.1 1268.3 0.0374 -0.0159 0.9705 -2.3 1.6 0.2
2025-05-13 18:58:29.929 08:48.2 1229.0 0.0369 -0.0203 0.9724 -2.2 1.2 0.4
2025-05-13 18:58:30.029 08:48.3 1229.0 0.0322 -0.0154 0.9697 -2.2 1.2 0.1
2025-05-13 18:58:30.129 08:48.4 1242.1 0.0327 -0.0105 0.9673 -2.1 1.3 0.1
2025-05-13 18:58:30.229 08:48.5 1215.9 0.0361 -0.0129 0.9800 -2.2 1.4 0.3
2025-05-13 18:58:30.329 08:48.6 1215.9 0.0325 -0.0161 0.9753 -2.2 1.2 0.3
