timestamp,pressure,accel_x,accel_y,accel_z
2025-05-09 12:40:26.865061,442.59999999999997,0.038,-0.0134,0.967
2025-05-09 12:40:27.159905,455.7,0.0407,-0.0107,0.9733
2025-05-09 12:40:27.160910,455.7,0.0407,-0.0107,0.9733
2025-05-09 12:40:27.214628,442.59999999999997,0.0336,-0.0212,0.9621
2025-05-09 12:40:27.214901,442.59999999999997,0.0336,-0.0212,0.9621
2025-05-09 12:40:27.500619,442.59999999999997,0.0349,-0.008,0.9694
2025-05-09 12:40:27.995270,429.5,0.0361,-0.0119,0.9733
2025-05-09 12:40:28.007910,468.8,0.0354,-0.0107,0.9672
2025-05-09 12:40:28.008114,468.8,0.0354,-0.0107,0.9672
2025-05-09 12:40:28.894755,455.7,0.0356,-0.0114,0.9746
2025-05-09 12:40:28.965671,442.59999999999997,0.0339,-0.0166,0.9645
2025-05-09 12:40:28.965878,442.59999999999997,0.0339,-0.0166,0.9645
2025-05-09 12:40:29.250829,468.8,0.0097,-0.0224,0.9599
2025-05-09 12:40:29.251035,468.8,0.0097,-0.0224,0.9599
2025-05-09 12:40:29.605769,455.7,-0.0168,0.0083,0.9699
2025-05-09 12:40:29.605992,455.7,-0.0168,0.0083,0.9699
2025-05-09 12:40:29.806536,468.8,0.0292,-0.0053,0.958
2025-05-09 12:40:29.807163,468.8,0.0292,-0.0053,0.958
2025-05-09 12:40:29.865891,481.9,0.038,-0.0065,0.9694
2025-05-09 12:40:29.866159,481.9,0.038,-0.0065,0.9694
2025-05-09 12:40:30.410757,481.9,-0.0278,-0.0021,0.9733
2025-05-09 12:40:30.411128,481.9,-0.0278,-0.0021,0.9733
2025-05-09 12:40:30.487117,468.8,0.0317,-0.0004,0.9689
2025-05-09 12:40:30.765854,429.5,-0.0202,0.1105,1.0002
2025-05-09 12:40:30.766118,429.5,-0.0202,0.1105,1.0002
2025-05-09 12:40:31.009210,468.8,0.0048,0.1716,0.9401
2025-05-09 12:40:31.009507,468.8,0.0048,0.1716,0.9401
2025-05-09 12:40:31.364210,455.7,-0.1398,0.247,0.9074
2025-05-09 12:40:31.364402,455.7,-0.1398,0.247,0.9074
2025-05-09 12:40:31.606797,495.0,-0.1252,0.2416,0.9125
2025-05-09 12:40:31.607018,495.0,-0.1252,0.2416,0.9125
2025-05-09 12:40:31.665622,468.8,-0.1005,0.2365,0.9187
2025-05-09 12:40:31.665913,468.8,-0.1005,0.2365,0.9187
2025-05-09 12:40:31.967146,468.8,-0.0915,0.2131,0.9582
2025-05-09 12:40:31.967435,468.8,-0.0915,0.2131,0.9582
2025-05-09 12:40:33.264087,468.8,0.0375,-0.01,0.9748
2025-05-09 12:40:33.265480,468.8,0.0285,-0.0109,0.9755
2025-05-09 12:40:33.265689,468.8,0.0285,-0.0109,0.9755
2025-05-09 12:40:33.465815,481.9,0.0356,-0.0095,0.9714
2025-05-09 12:40:33.466175,481.9,0.0356,-0.0095,0.9714
2025-05-09 12:40:34.952536,442.59999999999997,0.0385,-0.0148,0.9597
2025-05-09 12:40:34.952796,442.59999999999997,0.0385,-0.0148,0.9597
2025-05-09 12:40:35.208112,468.8,0.0273,-0.0202,0.9729
2025-05-09 12:40:35.208324,468.8,0.0273,-0.0202,0.9729
2025-05-09 12:40:35.252294,468.8,0.0273,-0.0202,0.9729
2025-05-09 12:40:35.252688,468.8,0.0273,-0.0202,0.9729
2025-05-09 12:40:36.111318,455.7,0.0412,-0.0161,0.9677
2025-05-09 12:40:36.111746,455.7,0.0412,-0.0161,0.9677
2025-05-09 12:40:36.155942,455.7,0.0412,-0.0161,0.9677
2025-05-09 12:40:36.156115,455.7,0.0412,-0.0161,0.9677
2025-05-09 12:40:36.180239,455.7,0.0429,-0.0146,0.9736
2025-05-09 12:40:36.456968,455.7,0.0349,-0.0063,0.9621
2025-05-09 12:40:36.457202,455.7,0.0349,-0.0063,0.9621
2025-05-09 12:40:36.799782,455.7,0.0317,-0.0139,0.9633
2025-05-09 12:40:37.050660,468.8,0.0307,-0.0124,0.9694
2025-05-09 12:40:37.051053,468.8,0.0307,-0.0124,0.9694
2025-05-09 12:40:37.650197,481.9,0.0368,-0.0126,0.9658
2025-05-09 12:40:37.650477,481.9,0.0368,-0.0126,0.9658
2025-05-09 12:40:38.580286,455.7,0.0346,-0.0112,0.9707
2025-05-09 12:40:39.409547,455.7,0.0456,-0.0043,0.9594
2025-05-09 12:40:39.409875,455.7,0.0456,-0.0043,0.9594
2025-05-09 12:40:40.374065,442.59999999999997,0.0341,-0.0144,0.976
2025-05-09 12:40:40.465924,468.8,0.0412,-0.0061,0.967
2025-05-09 12:40:40.466459,468.8,0.0412,-0.0061,0.967
2025-05-09 12:40:40.660162,508.1,0.0344,-0.0129,0.9753
2025-05-09 12:40:40.660458,508.1,0.0344,-0.0129,0.9753
