timestamp,pressure,accel_x,accel_y,accel_z
11:19.2,1242.1,0.0366,-0.0156,0.9697
11:19.2,1242.1,0.0366,-0.0156,0.9697
11:19.7,1255.2,0.0334,-0.0124,0.9641
11:19.7,1255.2,0.0334,-0.0124,0.9641
11:19.9,1294.5,0.0317,-0.0112,0.9685
11:19.9,1294.5,0.0317,-0.0112,0.9685
11:20.2,1294.5,0.0373,-0.0124,0.9697
11:20.2,1294.5,0.0373,-0.0124,0.9697
11:20.6,1242.1,0.0312,-0.0158,0.9677
11:20.6,1242.1,0.0312,-0.0158,0.9677
11:20.8,1255.2,0.0339,-0.018,0.977
11:20.8,1255.2,0.0339,-0.018,0.977
11:21.3,1268.3,0.0366,-0.0063,0.9802
11:21.3,1268.3,0.0366,-0.0063,0.9802
11:21.4,1268.3,0.0344,-0.0185,0.9709
11:21.4,1268.3,0.0344,-0.0185,0.9709
11:21.5,1268.3,0.0344,-0.0185,0.9709
11:21.5,1268.3,0.0344,-0.0185,0.9709
11:21.9,1294.5,0.0314,-0.0065,0.9707
11:22.4,1268.3,0.0312,-0.0107,0.9621
11:22.4,1268.3,0.0312,-0.0107,0.9621
11:22.7,1255.2,0.0371,-0.0153,0.9755
11:22.7,1255.2,0.0371,-0.0153,0.9755
11:22.9,1242.1,0.0385,-0.0144,0.968
11:23.0,1255.2,0.0375,-0.0144,0.9658
11:23.0,1255.2,0.0375,-0.0144,0.9658
11:23.3,1294.5,0.0354,-0.0075,0.9721
11:23.3,1294.5,0.0354,-0.0075,0.9721
11:23.5,1307.6,0.0314,-0.0097,0.9594
11:23.5,1307.6,0.0314,-0.0097,0.9594
11:23.8,1281.4,0.028,-0.0083,0.9687
11:23.8,1281.4,0.028,-0.0083,0.9687
11:24.5,1281.4,0.0356,-0.0141,0.9658
11:24.5,1281.4,0.0356,-0.0141,0.9658
11:24.8,1281.4,0.0388,-0.0109,0.965
11:24.8,1294.5,0.0334,-0.0156,0.9707
11:24.8,1294.5,0.0334,-0.0156,0.9707
11:24.8,1268.3,0.0349,-0.0161,0.9719
11:24.8,1268.3,0.0349,-0.0161,0.9719
11:25.1,1268.3,0.038,-0.0117,0.9724
11:25.1,1268.3,0.038,-0.0117,0.9724
11:25.5,1281.4,0.0297,-0.009,0.976
11:25.5,1281.4,0.0297,-0.009,0.976
11:26.0,1294.5,0.0185,-0.0092,1.0046
11:26.0,1294.5,0.0185,-0.0092,1.0046
11:26.0,1294.5,0.0185,-0.0092,1.0046
11:26.0,1307.6,0.0288,-0.0109,0.975
11:26.0,1307.6,0.0288,-0.0109,0.975
11:26.3,1268.3,0.0346,-0.0075,0.9658
11:26.3,1268.3,0.0346,-0.0075,0.9658
11:26.5,1255.2,0.0068,0.0292,0.9697
11:26.5,1255.2,0.0068,0.0292,0.9697
11:26.6,1255.2,0.0068,0.0292,0.9697
11:27.2,1255.2,0.0639,-0.2297,-0.1208
11:27.2,1255.2,0.0639,-0.2297,-0.1208
11:28.1,1307.6,0.5573,0.3896,-0.5488
11:28.1,1307.6,0.5573,0.3896,-0.5488
11:28.7,1281.4,0.3134,0.7521,-0.4169
11:28.7,1281.4,0.3134,0.7521,-0.4169
11:29.2,1307.6,0.6904,0.7934,-0.5454
11:29.3,1268.3,0.4785,0.8156,-0.3415
