00:30.1 12027.9 0.1008 0.0195 0.9673 -2.3 1.3 0.3
00:30.3 11634.7 0.1077 0.0259 0.9717 -2.1 1.4 0.3
00:30.4 11634.7 0.1055 0.0225 0.9717 -2.3 1.1 0.2
00:30.5 11896.8 0.1045 0.0281 0.9653 -2.1 1.3 0.2
00:30.6 11765.8 0.1040 0.0266 0.9656 -2.2 1.3 0.3
00:30.7 11634.7 0.0991 0.0256 0.9688 -2.1 1.7 0.3
00:30.8 11765.8 0.1050 0.0237 0.9683 -2.1 1.2 0.1
00:30.9 11896.8 0.1047 0.0208 0.9727 -2.3 1.2 -0.1
00:31.0 11634.7 0.1096 0.0203 0.9690 -2.2 1.3 0.2
00:31.1 11503.6 0.1121 0.0210 0.9661 -2.3 1.3 0.0
00:31.2 11503.6 0.1125 0.0242 0.9719 -2.3 1.1 0.3
00:31.3 11765.8 0.1006 0.0225 0.9658 -2.3 1.5 0.2
00:31.4 11634.7 0.1084 0.0225 0.9680 -2.1 1.3 0.2
00:31.5 11634.7 0.1003 0.0190 0.9688 -2.3 1.3 0.1
00:31.6 11896.8 0.1074 0.0193 0.9727 -2.2 1.3 0.1
00:31.7 11896.8 0.1021 0.0198 0.9692 -2.3 1.7 0.3
00:31.8 11896.8 0.1079 0.0173 0.9675 -2.0 1.3 0.3
00:31.9 11765.8 0.1018 0.0256 0.9697 -2.1 1.4 0.3
00:32.0 11896.8 0.1040 0.0229 0.9683 -1.9 1.3 0.1
00:32.1 12027.9 0.1062 0.0229 0.9656 -2.2 1.6 0.2
00:32.2 11896.8 0.1077 0.0188 0.9653 -2.3 1.1 0.2
00:32.3 12027.9 0.1079 0.0190 0.9629 -2.2 1.5 0.2
00:32.4 11896.8 0.1052 0.0193 0.9697 -2.4 1.3 0.3
00:32.5 11503.6 0.1060 0.0208 0.9717 -2.2 1.3 0.2
00:32.6 11634.7 0.1013 0.0205 0.9695 -2.0 1.3 0.4
00:32.7 12027.9 0.1003 0.0212 0.9678 -2.2 1.5 0.3
00:32.8 12159.0 0.1069 0.0173 0.9673 -2.4 1.0 0.0
00:32.9 11896.8 0.1079 0.0247 0.9658 -2.2 1.2 0.3
00:33.0 11896.8 0.0981 0.0266 0.9688 -2.3 1.1 0.4
00:33.1 12027.9 0.0977 0.0220 0.9656 -2.3 1.3 0.3
00:33.2 12027.9 0.1055 0.0271 0.9758 -2.1 1.4 0.2
00:33.3 11765.8 0.1008 0.0190 0.9622 -2.3 1.4 0.2
00:33.4 11765.8 0.1067 0.0225 0.9744 -2.2 1.3 0.3
00:33.5 11765.8 0.1040 0.0195 0.9644 -2.3 1.3 0.2
00:33.6 11634.7 0.1052 0.0242 0.9634 -2.3 1.4 0.2
00:33.7 11634.7 0.1030 0.0173 0.9629 -2.2 1.3 0.2
00:33.8 11634.7 0.1040 0.0256 0.9678 -2.4 1.3 0.2
00:33.9 11634.7 0.1030 0.0183 0.9734 -2.1 1.6 0.3
00:34.0 11634.7 0.1016 0.0178 0.9653 -2.2 1.1 0.2
00:34.1 11765.8 0.1018 0.0183 0.9661 -2.2 1.3 0.3
00:34.2 11765.8 0.1060 0.0210 0.9697 -2.3 1.1 0.1
00:34.3 11765.8 0.1001 0.0283 0.9636 -2.1 1.4 0.2
00:34.4 11634.7 0.1060 0.0208 0.9673 -2.2 1.5 0.4
00:34.5 11503.6 0.1121 0.0166 0.9673 -2.3 1.5 0.1
00:34.6 11765.8 0.1074 0.0220 0.9663 -2.3 1.2 0.3
00:34.7 11634.7 0.1086 0.0286 0.9644 -2.4 1.2 0.2
00:34.8 11634.7 0.1018 0.0251 0.9697 -2.2 1.2 0.2
00:34.9 11503.6 0.1086 0.0237 0.9702 -2.3 1.1 0.3
00:35.0 11503.6 0.1021 0.0227 0.9639 -2.4 1.6 0.4
00:35.1 11765.8 0.1008 0.0168 0.9639 -1.9 1.4 0.1
00:35.2 11634.7 0.1030 0.0278 0.9658 -2.4 1.4 0.2
00:35.3 11372.5 0.0994 0.0171 0.9622 -2.1 1.3 0.4
00:35.4 11372.5 0.1038 0.0232 0.9697 -2.2 1.5 0.2
00:35.5 11765.8 0.1067 0.0210 0.9683 -2.1 1.3 0.2
00:35.6 11634.7 0.1050 0.0190 0.9702 -2.0 1.2 0.3
00:35.7 11372.5 0.1045 0.0229 0.9646 -2.2 1.3 0.1
00:35.8 11503.6 0.1067 0.0259 0.9729 -2.4 1.3 0.2
00:35.9 11372.5 0.1018 0.0276 0.9714 -2.0 1.3 0.1
00:36.0 11503.6 0.1052 0.0242 0.9646 -2.3 1.5 0.1
00:36.1 11896.8 0.1133 0.0242 0.9773 -2.3 1.2 0.2
00:36.2 11896.8 0.1106 0.0181 0.9612 -2.3 1.1 0.3
00:36.3 11634.7 0.1057 0.0210 0.9666 -2.1 1.4 0.3
00:36.4 11503.6 0.1035 0.0198 0.9648 -2.3 1.4 0.2
00:36.5 11634.7 0.1062 0.0234 0.9614 -2.3 1.3 0.3
00:36.6 11765.8 0.0986 0.0254 0.9758 -2.3 1.2 0.3
00:36.7 11503.6 0.0999 0.0205 0.9683 -2.3 1.1 0.3
00:36.8 11372.5 0.1084 0.0198 0.9656 -2.4 1.0 0.3
00:36.9 11634.7 0.1055 0.0251 0.9702 -2.4 1.2 0.1
00:37.0 11634.7 0.1025 0.0234 0.9675 -2.3 1.6 0.1
00:37.1 11110.4 0.1089 0.0139 0.9651 -2.2 1.3 0.4
00:37.2 11241.5 0.1047 0.0205 0.9639 -2.3 1.1 0.3
00:37.3 11503.6 0.1038 0.0242 0.9641 -2.0 1.6 0.3
00:37.4 11372.5 0.1038 0.0178 0.9707 -2.2 1.4 0.3
00:37.5 11372.5 0.1084 0.0193 0.9661 -2.1 1.7 0.3
00:37.6 11372.5 0.1067 0.0181 0.9663 -2.2 1.4 0.2
00:37.7 11372.5 0.1135 0.0171 0.9622 -2.2 1.2 0.3
00:37.8 11372.5 0.1055 0.0210 0.9619 -2.4 1.5 0.3
00:37.9 11372.5 0.1121 0.0222 0.9729 -2.3 1.1 0.3
00:38.0 11241.5 0.0957 0.0198 0.9724 -2.5 1.3 0.3
00:38.1 11241.5 0.1038 0.0288 0.9661 -2.4 1.3 0.2
00:38.2 11372.5 0.1062 0.0234 0.9707 -2.2 1.3 0.2
00:38.3 11634.7 0.1133 0.0198 0.9766 -2.2 1.4 0.3
00:38.4 11110.4 0.1160 0.0249 0.9658 -2.4 1.5 0.3
00:38.5 11110.4 0.1011 0.0205 0.9729 -2.3 1.5 0.2
00:38.6 11503.6 0.1101 0.0212 0.9663 -2.3 1.1 0.3
00:38.7 11503.6 0.1040 0.0188 0.9673 -2.2 1.3 0.1
00:38.8 11503.6 0.1084 0.0247 0.9724 -2.2 1.3 0.3
00:38.9 11896.8 0.1001 0.0198 0.9661 -2.1 1.4 0.4
00:39.0 12027.9 0.1069 0.0244 0.9756 -2.2 1.2 0.2
00:39.1 11503.6 0.1023 0.0168 0.9595 -2.5 1.2 0.3
00:39.2 11372.5 0.1067 0.0210 0.9731 -2.4 1.3 0.1
00:39.3 11634.7 0.1106 0.0215 0.9668 -2.7 0.9 0.1
00:39.4 11765.8 0.1028 0.0276 0.9678 -2.4 1.4 0.2
00:39.5 11765.8 0.1118 0.0227 0.9700 -2.2 1.2 0.1
00:39.6 11634.7 0.1121 0.0200 0.9751 -2.2 1.5 0.3
00:39.7 11765.8 0.1064 0.0205 0.9670 -1.9 1.3 0.2
00:39.8 11765.8 0.1016 0.0220 0.9741 -2.2 1.4 0.2
