timestamp,packet_id,pressure,accel_x,accel_y,accel_z
2025-07-17 14:09:07.760977,127,-2259.0,0.0407,0.5153,0.9492
2025-07-17 14:09:07.701004,129,-2390.1,0.0314,0.5114,0.9604
2025-07-17 14:09:07.801004,129,-2390.1,0.0424,0.5095,0.9482
2025-07-17 14:09:07.966786,132,-2127.9,0.0356,0.5122,0.9594
2025-07-17 14:09:08.066786,132,-2127.9,0.0402,0.5117,0.9455
2025-07-17 14:09:08.598597,138,-1603.6,0.0317,0.5046,0.9414
2025-07-17 14:09:08.698597,138,-1865.8,0.0402,0.5085,0.9521
2025-07-17 14:09:09.167271,144,-1865.8,0.0358,0.4992,0.9606
2025-07-17 14:09:09.267271,144,-1996.8,0.0334,0.5019,0.9558
2025-07-17 14:09:10.124220,153,-1734.7,0.0375,0.496,0.9687
2025-07-17 14:09:10.224220,153,-2127.9,0.0327,0.4936,0.9638
2025-07-17 14:09:10.444928,154,-1865.8,0.039,0.4926,0.957
2025-07-17 14:09:11.638317,168,-2127.9,0.0473,0.4768,0.9711
2025-07-17 14:09:11.738317,168,-2127.9,0.0488,0.4777,0.9794
2025-07-17 14:09:11.864039,171,-1996.8,0.0456,0.4799,0.9824
2025-07-17 14:09:11.964039,171,-1996.8,0.0449,0.4731,0.9526
2025-07-17 14:09:12.181501,174,-1996.8,0.0505,0.4785,0.9665
2025-07-17 14:09:12.281501,174,-2259.0,0.0498,0.478,0.9721
2025-07-17 14:09:12.336116,175,-2127.9,0.0551,0.4765,0.965
2025-07-17 14:09:12.468555,177,-2127.9,0.0493,0.4724,0.977
2025-07-17 14:09:12.568555,177,-1996.8,0.0437,0.4716,0.9675
2025-07-17 14:09:12.736301,180,-1603.6,0.05,0.4736,0.9572
2025-07-17 14:09:12.836301,180,-1734.7,0.0549,0.4672,0.8933
2025-07-17 14:09:12.936231,181,-1996.8,0.0493,0.4743,0.9506
2025-07-17 14:09:13.120842,183,-1996.8,0.0505,0.4714,0.9699
