id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
12_1,2025-07-19 01:05:03.434096,12,-686.1,-0.2521,-0.2565,1.0083
12_2,2025-07-19 01:05:03.534096,12,-292.9,-0.2492,-0.2561,1.0122
12_3,2025-07-19 01:05:03.634096,12,100.3,-0.2509,-0.2597,1.0141
15_1,2025-07-19 01:05:03.738694,15,-30.8,-0.2492,-0.2539,1.0083
15_2,2025-07-19 01:05:03.838694,15,-555.1,-0.2534,-0.2541,1.0073
15_3,2025-07-19 01:05:03.938694,15,-817.2,-0.2553,-0.2575,1.0095
18_1,2025-07-19 01:05:04.032764,18,-686.1,-0.2519,-0.2553,1.007
18_2,2025-07-19 01:05:04.132764,18,-292.9,-0.2509,-0.2592,1.0107
18_3,2025-07-19 01:05:04.232764,18,-30.8,-0.2509,-0.2558,1.0085
24_1,2025-07-19 01:05:04.633223,24,-686.1,-0.2512,-0.2529,1.0053
24_2,2025-07-19 01:05:04.733223,24,-555.1,-0.2507,-0.2561,1.0046
24_3,2025-07-19 01:05:04.833223,24,-292.9,-0.2546,-0.2521,0.9997
27_1,2025-07-19 01:05:04.928985,27,-161.8,-0.248,-0.2575,1.0019
27_2,2025-07-19 01:05:05.028985,27,-424.0,-0.2526,-0.2604,1.0041
27_3,2025-07-19 01:05:05.128985,27,-161.8,-0.2529,-0.2536,0.9997
30_1,2025-07-19 01:05:05.233915,30,100.3,-0.2531,-0.2597,1.0078
30_2,2025-07-19 01:05:05.333915,30,-424.0,-0.2526,-0.2614,1.0065
30_3,2025-07-19 01:05:05.433915,30,-817.2,-0.2482,-0.2546,1.0065
36_1,2025-07-19 01:05:05.835820,36,-817.2,-0.2551,-0.2565,1.0068
36_2,2025-07-19 01:05:05.935820,36,-424.0,-0.2514,-0.2534,1.0085
36_3,2025-07-19 01:05:06.035820,36,-424.0,-0.2578,-0.2553,1.0043
45_1,2025-07-19 01:05:06.735717,45,-555.1,-0.2578,-0.2556,1.0029
45_2,2025-07-19 01:05:06.835717,45,-292.9,-0.2565,-0.2592,1.0007
45_3,2025-07-19 01:05:06.935717,45,-555.1,-0.2541,-0.2531,1.0058
48_1,2025-07-19 01:05:07.030432,48,-555.1,-0.2507,-0.2546,1.0056
48_2,2025-07-19 01:05:07.130432,48,-555.1,-0.2524,-0.2526,1.0131
48_3,2025-07-19 01:05:07.230432,48,-555.1,-0.2595,-0.2558,1.0068
51_1,2025-07-19 01:05:07.332970,51,-686.1,-0.2529,-0.2541,1.0041
51_2,2025-07-19 01:05:07.432970,51,-686.1,-0.2536,-0.2565,1.0087
51_3,2025-07-19 01:05:07.532970,51,-424.0,-0.2507,-0.2614,1.0095
54_1,2025-07-19 01:05:07.634430,54,-555.1,-0.2529,-0.258,1.0046
54_2,2025-07-19 01:05:07.734430,54,-555.1,-0.2536,-0.2553,0.9934
54_3,2025-07-19 01:05:07.834430,54,-424.0,-0.2531,-0.258,1.0019
57_1,2025-07-19 01:05:08.521109,57,-555.1,-0.2531,-0.2585,1.0073
57_2,2025-07-19 01:05:08.621109,57,-424.0,-0.2568,-0.2575,1.0075
57_3,2025-07-19 01:05:08.721109,57,-424.0,-0.25,-0.2543,1.0107
66_1,2025-07-19 01:05:08.838253,66,-424.0,-0.2521,-0.2607,1.0063
66_2,2025-07-19 01:05:08.938253,66,-555.1,-0.2463,-0.2553,1.0126
66_3,2025-07-19 01:05:09.038253,66,-424.0,-0.2551,-0.2595,1.009
69_1,2025-07-19 01:05:09.137141,69,-555.1,-0.2514,-0.2575,1.0119
69_2,2025-07-19 01:05:09.237141,69,-424.0,-0.2529,-0.2553,1.0063
69_3,2025-07-19 01:05:09.337141,69,-30.8,-0.2531,-0.2585,1.0026
75_1,2025-07-19 01:05:10.032585,75,-424.0,-0.2531,-0.2578,1.0092
75_2,2025-07-19 01:05:10.132585,75,-424.0,-0.2536,-0.2578,1.0056
75_3,2025-07-19 01:05:10.232585,75,-161.8,-0.25,-0.2595,1.0131
78_1,2025-07-19 01:05:10.033423,78,-161.8,-0.2509,-0.2583,1.0065
78_2,2025-07-19 01:05:10.133423,78,-424.0,-0.2575,-0.2541,1.0107
78_3,2025-07-19 01:05:10.233423,78,-424.0,-0.2495,-0.2529,1.007
84_1,2025-07-19 01:05:10.633026,84,-292.9,-0.2539,-0.2514,1.0124
84_2,2025-07-19 01:05:10.733026,84,-292.9,-0.2529,-0.2519,1.0036
84_3,2025-07-19 01:05:10.833026,84,-161.8,-0.2556,-0.25,1.0061
87_1,2025-07-19 01:05:10.931828,87,-292.9,-0.2502,-0.2492,1.0104
87_2,2025-07-19 01:05:11.031828,87,-292.9,-0.2634,-0.2585,1.0102
87_3,2025-07-19 01:05:11.131828,87,-292.9,-0.2529,-0.2512,1.0029
90_1,2025-07-19 01:05:11.228973,90,-424.0,-0.2478,-0.2536,1.0175
90_2,2025-07-19 01:05:11.328973,90,-686.1,-0.2536,-0.2565,1.0097
90_3,2025-07-19 01:05:11.428973,90,-555.1,-0.2475,-0.2587,1.0207
93_1,2025-07-19 01:05:11.533480,93,-555.1,-0.2346,-0.258,1.0144
93_2,2025-07-19 01:05:11.633480,93,-686.1,-0.2043,-0.2614,1.0214
93_3,2025-07-19 01:05:11.733480,93,-686.1,-0.134,-0.2932,1.0126
99_1,2025-07-19 01:05:12.128590,99,-292.9,-0.0368,-0.1958,1.102
99_2,2025-07-19 01:05:12.228590,99,-555.1,-0.1791,-0.2294,1.0629
99_3,2025-07-19 01:05:12.328590,99,-424.0,-0.5163,-0.277,0.8967
