date_time timestamp pressure accel_x accel_y accel_z gyro_x gyro_y gyro_z
2025-05-21 11:04:40.372 16:20.3 3195.0 0.0139 0.0015 0.9727 -2.2 1.5 0.2
2025-05-21 11:04:40.472 16:20.4 3181.9 0.0161 -0.0034 0.9690 -2.3 1.4 0.3
2025-05-21 11:04:40.571 16:20.5 3155.7 0.0208 0.0000 0.9763 -2.3 1.6 0.1
2025-05-21 11:04:40.672 16:20.6 3168.8 0.0225 -0.0005 0.9739 -2.2 1.3 0.1
2025-05-21 11:04:40.772 16:20.7 3181.9 0.0242 0.0022 0.9702 -2.1 1.4 0.5
2025-05-21 11:04:40.872 16:20.8 3168.8 0.0117 0.0000 0.9695 -2.4 1.2 0.1
2025-05-21 11:04:40.972 16:20.9 3168.8 0.0139 0.0015 0.9724 -2.4 1.2 0.3
2025-05-21 11:04:41.073 16:21.0 3181.9 0.0190 -0.0024 0.9722 -2.2 1.3 0.2
2025-05-21 11:04:41.172 16:21.1 3181.9 0.0232 0.0022 0.9753 -2.4 1.1 0.2
2025-05-21 11:04:41.272 16:21.2 3181.9 0.0242 0.0005 0.9675 -2.2 1.3 0.4
2025-05-21 11:04:41.372 16:21.3 3181.9 0.0212 -0.0002 0.9753 -2.2 1.5 0.2
2025-05-21 11:04:41.471 16:21.4 3195.0 0.0200 0.0007 0.9849 -2.4 1.2 0.2
2025-05-21 11:04:41.572 16:21.5 3221.2 0.0190 0.0078 0.9695 -2.1 1.3 0.3
2025-05-21 11:04:41.673 16:21.6 3234.3 0.0159 0.0022 0.9775 -2.3 1.2 0.3
2025-05-21 11:04:41.772 16:21.7 3208.1 0.0244 0.0000 0.9714 -1.9 1.4 0.2
2025-05-21 11:04:41.872 16:21.8 3221.2 0.0200 0.0007 0.9800 -2.3 1.3 0.3
2025-05-21 11:04:41.971 16:21.9 3221.2 0.0222 -0.0015 0.9709 -2.2 1.3 0.3
2025-05-21 11:04:42.072 16:22.0 3168.8 0.0208 -0.0059 0.9729 -2.2 1.2 0.3
2025-05-21 11:04:42.171 16:22.1 3195.0 0.0225 0.0000 0.9678 -2.4 1.5 0.2
2025-05-21 11:04:42.271 16:22.2 3195.0 0.0264 0.0042 0.9697 -2.3 1.3 0.2
2025-05-21 11:04:42.372 16:22.3 3181.9 0.0142 -0.0027 0.9756 -2.2 1.3 0.3
2025-05-21 11:04:42.471 16:22.4 3168.8 0.0208 0.0020 0.9719 -2.3 1.4 0.4
2025-05-21 11:04:42.572 16:22.5 3181.9 0.0168 0.0022 0.9758 -2.3 1.4 0.3
2025-05-21 11:04:42.672 16:22.6 3181.9 0.0178 0.0024 0.9656 -2.4 1.0 0.2
2025-05-21 11:04:42.772 16:22.7 3181.9 0.0166 -0.0029 0.9753 -2.3 1.2 0.1
2025-05-21 11:04:42.872 16:22.8 3181.9 0.0210 -0.0005 0.9731 -2.4 1.5 0.3
2025-05-21 11:04:42.972 16:22.9 3195.0 0.0205 -0.0037 0.9678 -2.3 1.3 0.3
2025-05-21 11:04:43.072 16:23.0 3195.0 0.0198 -0.0017 0.9766 -2.3 1.3 0.2
2025-05-21 11:04:43.172 16:23.1 3181.9 0.0249 -0.0022 0.9797 -2.2 1.4 0.4
2025-05-21 11:04:43.272 16:23.2 3168.8 0.0220 0.0015 0.9734 -2.2 1.2 0.2
2025-05-21 11:04:43.372 16:23.3 3168.8 0.0178 0.0054 0.9766 -2.2 1.5 0.2
2025-05-21 11:04:43.472 16:23.4 3168.8 0.0217 0.0010 0.9683 -2.2 1.3 0.1
2025-05-21 11:04:43.572 16:23.5 3155.7 0.0134 0.0034 0.9819 -2.3 1.3 0.2
2025-05-21 11:04:43.672 16:23.6 3155.7 0.0200 -0.0007 0.9790 -2.2 1.3 0.2
2025-05-21 11:04:43.772 16:23.7 3155.7 0.0166 -0.0049 0.9778 -2.4 1.4 0.2
2025-05-21 11:04:43.872 16:23.8 3168.8 0.0168 0.0032 0.9775 -2.2 1.3 0.2
2025-05-21 11:04:43.972 16:23.9 3195.0 0.0176 0.0017 0.9724 -2.3 1.1 0.0
2025-05-21 11:04:44.072 16:24.0 3181.9 0.0239 0.0039 0.9739 -2.1 1.5 0.2
2025-05-21 11:04:44.171 16:24.1 3181.9 0.0254 -0.0012 0.9758 -2.3 1.1 0.4
2025-05-21 11:04:44.273 16:24.2 3221.2 0.0205 0.0005 0.9858 -2.1 1.4 0.1
